base,t_mid_s,rms,ptp,line_length,y
C:\Users\admin\OneDrive - National Economics University\Documents\TÀI LIỆU\GIÁO TRÌNH HỌC\TIME SERIES\Seizure-Dectection-using-ECoG-\EEG\ds003029\sub-jh101\ses-presurgery\ieeg\sub-jh101_ses-presurgery_task-ictal_acq-ecog_run-01_ieeg,0.9995,0.00014882392578512184,0.003320695125,0.005062053923459053,0
C:\Users\admin\OneDrive - National Economics University\Documents\TÀI LIỆU\GIÁO TRÌNH HỌC\TIME SERIES\Seizure-Dectection-using-ECoG-\EEG\ds003029\sub-jh101\ses-presurgery\ieeg\sub-jh101_ses-presurgery_task-ictal_acq-ecog_run-01_ieeg,1.9995,0.00014216319415285495,0.0013562474375,0.004637066887869835,0
C:\Users\admin\OneDrive - National Economics University\Documents\TÀI LIỆU\GIÁO TRÌNH HỌC\TIME SERIES\Seizure-Dectection-using-ECoG-\EEG\ds003029\sub-jh101\ses-presurgery\ieeg\sub-jh101_ses-presurgery_task-ictal_acq-ecog_run-01_ieeg,2.9995,0.00012893528929412958,0.00152518875,0.004840777417992987,0
C:\Users\admin\OneDrive - National Economics University\Documents\TÀI LIỆU\GIÁO TRÌNH HỌC\TIME SERIES\Seizure-Dectection-using-ECoG-\EEG\ds003029\sub-jh101\ses-presurgery\ieeg\sub-jh101_ses-presurgery_task-ictal_acq-ecog_run-01_ieeg,3.9995,0.00013085422592337253,0.001774898125,0.005503343179211617,0
C:\Users\admin\OneDrive - National Economics University\Documents\TÀI LIỆU\GIÁO TRÌNH HỌC\TIME SERIES\Seizure-Dectection-using-ECoG-\EEG\ds003029\sub-jh101\ses-presurgery\ieeg\sub-jh101_ses-presurgery_task-ictal_acq-ecog_run-01_ieeg,4.9995,0.0001307618458637931,0.001774898125,0.0054152512179532885,0
C:\Users\admin\OneDrive - National Economics University\Documents\TÀI LIỆU\GIÁO TRÌNH HỌC\TIME SERIES\Seizure-Dectection-using-ECoG-\EEG\ds003029\sub-jh101\ses-presurgery\ieeg\sub-jh101_ses-presurgery_task-ictal_acq-ecog_run-01_ieeg,5.9995,0.00010955072658317369,0.0008603465000000001,0.004362738624991168,0
C:\Users\admin\OneDrive - National Economics University\Documents\TÀI LIỆU\GIÁO TRÌNH HỌC\TIME SERIES\Seizure-Dectection-using-ECoG-\EEG\ds003029\sub-jh101\ses-presurgery\ieeg\sub-jh101_ses-presurgery_task-ictal_acq-ecog_run-01_ieeg,6.9995,0.00010437707418916742,0.00075302553125,0.004377668034147013,0
C:\Users\admin\OneDrive - National Economics University\Documents\TÀI LIỆU\GIÁO TRÌNH HỌC\TIME SERIES\Seizure-Dectection-using-ECoG-\EEG\ds003029\sub-jh101\ses-presurgery\ieeg\sub-jh101_ses-presurgery_task-ictal_acq-ecog_run-01_ieeg,7.9995,9.993340495516773e-05,0.00072020890625,0.004368049008278533,0
C:\Users\admin\OneDrive - National Economics University\Documents\TÀI LIỆU\GIÁO TRÌNH HỌC\TIME SERIES\Seizure-Dectection-using-ECoG-\EEG\ds003029\sub-jh101\ses-presurgery\ieeg\sub-jh101_ses-presurgery_task-ictal_acq-ecog_run-01_ieeg,8.9995,0.00011387731175792164,0.0007172842812500001,0.0043555185344139775,0
C:\Users\admin\OneDrive - National Economics University\Documents\TÀI LIỆU\GIÁO TRÌNH HỌC\TIME SERIES\Seizure-Dectection-using-ECoG-\EEG\ds003029\sub-jh101\ses-presurgery\ieeg\sub-jh101_ses-presurgery_task-ictal_acq-ecog_run-01_ieeg,9.9995,0.00012070187520951399,0.00074892490625,0.004320612603726768,0
